epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.642,1.14024,3.04999,1.38623,0.01011,1,0.11375,0.07103,1.23631,3.00933,1.18704,0,0,0
2,18.5709,1.13683,2.9042,1.23229,0.01037,1,0.11743,0.07266,1.22319,3.00173,1.17825,1.33693e-05,1.33693e-05,1.33693e-05
3,21.8166,1.34395,3.16121,1.3667,0.01049,1,0.18034,0.12429,1.18698,2.99911,1.15398,2.01374e-05,2.01374e-05,2.01374e-05
4,24.8719,1.2113,2.91937,1.27331,0.01076,1,0.18752,0.12815,1.16598,2.98636,1.13621,2.03041e-05,2.03041e-05,2.03041e-05
5,27.9648,1.03424,3.04842,1.25883,0.01103,1,0.19329,0.13348,1.14833,2.98947,1.11978,1.38694e-05,1.38694e-05,1.38694e-05
