epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,402.43,0.6771,0.97338,1.03573,0.86611,0.78488,0.95649,0.80629,0.58571,1.5004,0.8612,0.000827782,0.000827782,0.000827782
44,411.697,0.64657,0.89844,0.97426,0.81851,0.82747,0.9435,0.82168,0.62897,1.58339,0.89549,0.000832902,0.000832902,0.000832902
45,420.868,0.71926,0.93986,1.05188,0.81851,0.82747,0.9435,0.82168,0.62897,1.58339,0.89549,0.000837361,0.000837361,0.000837361
46,430.301,0.62035,0.86341,0.96487,0.80975,0.83476,0.97841,0.85842,0.61412,1.49386,0.88477,0.00084116,0.00084116,0.00084116
47,439.922,0.6152,0.87754,1.0045,0.80975,0.83476,0.97841,0.85842,0.61412,1.49386,0.88477,0.000844299,0.000844299,0.000844299
48,449.785,0.62233,0.87381,0.98354,0.85298,0.8858,0.995,0.87118,0.55924,1.36519,0.84114,0.000846778,0.000846778,0.000846778
49,459.424,0.69503,0.956,1.05117,0.85298,0.8858,0.995,0.87118,0.55924,1.36519,0.84114,0.000848596,0.000848596,0.000848596
50,467.781,0.62764,0.87233,0.99731,0.85393,0.82627,0.995,0.86243,0.58001,1.41982,0.85006,0.000849755,0.000849755,0.000849755
51,474.855,0.68904,0.93979,0.98298,0.85393,0.82627,0.995,0.86243,0.58001,1.41982,0.85006,0.000841835,0.000841835,0.000841835
52,482.06,0.53409,0.74693,0.93899,0.93598,0.81263,0.995,0.84713,0.62355,1.29488,0.88014,0.000825332,0.000825332,0.000825332
53,490.058,0.65285,0.85935,1.00251,0.93598,0.81263,0.995,0.84713,0.62355,1.29488,0.88014,0.000808828,0.000808828,0.000808828
54,497.558,0.61455,0.83831,1.00995,0.9003,1,0.995,0.85253,0.66903,1.14371,0.91192,0.000792325,0.000792325,0.000792325
55,505.442,0.61375,0.75982,0.96923,0.9003,1,0.995,0.85253,0.66903,1.14371,0.91192,0.000775822,0.000775822,0.000775822
56,512.79,0.66732,0.88279,1.04044,0.92091,1,0.995,0.87807,0.64329,1.04891,0.90008,0.000759318,0.000759318,0.000759318
57,521.469,0.50548,0.71485,0.89788,0.92091,1,0.995,0.87807,0.64329,1.04891,0.90008,0.000742815,0.000742815,0.000742815
58,529.206,0.66521,0.91546,1.03042,0.94295,0.99385,0.995,0.85223,0.64926,1.0021,0.89224,0.000726312,0.000726312,0.000726312
59,536.909,0.65832,0.79017,1.01934,0.94295,0.99385,0.995,0.85223,0.64926,1.0021,0.89224,0.000709809,0.000709809,0.000709809
60,544.145,0.62944,0.81821,1.00872,0.94532,1,0.995,0.8555,0.64117,0.95865,0.88553,0.000693305,0.000693305,0.000693305
61,551.695,0.62484,0.79673,0.98312,0.94532,1,0.995,0.8555,0.64117,0.95865,0.88553,0.000676802,0.000676802,0.000676802
62,559.245,0.61227,0.79062,0.98718,0.94477,0.99476,0.9925,0.87094,0.615,0.91177,0.89277,0.000660299,0.000660299,0.000660299
63,566.019,0.56916,0.77107,0.98314,0.94477,0.99476,0.9925,0.87094,0.615,0.91177,0.89277,0.000643795,0.000643795,0.000643795
64,572.756,0.61258,0.83545,0.97776,0.94363,0.99523,0.98679,0.88409,0.60953,0.88807,0.89758,0.000627292,0.000627292,0.000627292
65,579.395,0.61108,0.79128,0.96624,0.94363,0.99523,0.98679,0.88409,0.60953,0.88807,0.89758,0.000610789,0.000610789,0.000610789
66,586.022,0.6029,0.75094,0.99139,0.94601,0.99475,0.98679,0.89294,0.56869,0.8596,0.87086,0.000594286,0.000594286,0.000594286
67,592.855,0.5405,0.73587,0.93552,0.94601,0.99475,0.98679,0.89294,0.56869,0.8596,0.87086,0.000577782,0.000577782,0.000577782
68,601.09,0.57954,0.75396,0.95836,0.95439,0.99405,0.9925,0.88712,0.56978,0.84384,0.86094,0.000561279,0.000561279,0.000561279
69,608.708,0.54087,0.71681,0.97377,0.95439,0.99405,0.9925,0.88712,0.56978,0.84384,0.86094,0.000544776,0.000544776,0.000544776
70,615.827,0.60864,0.80016,0.99855,0.95239,0.99426,0.9925,0.89277,0.58056,0.82702,0.86085,0.000528272,0.000528272,0.000528272
71,623.03,0.56249,0.77032,1.03188,0.95239,0.99426,0.9925,0.89277,0.58056,0.82702,0.86085,0.000511769,0.000511769,0.000511769
72,630.163,0.54302,0.73847,0.96674,0.92306,0.99512,0.9925,0.86448,0.62849,0.83981,0.87751,0.000495266,0.000495266,0.000495266
73,637.642,0.53194,0.7079,0.91554,0.92306,0.99512,0.9925,0.86448,0.62849,0.83981,0.87751,0.000478762,0.000478762,0.000478762
74,644.668,0.55068,0.72427,0.96089,0.96415,0.98799,0.98964,0.86825,0.624,0.85574,0.88296,0.000462259,0.000462259,0.000462259
75,651.701,0.59859,0.75334,1.00043,0.96415,0.98799,0.98964,0.86825,0.624,0.85574,0.88296,0.000445756,0.000445756,0.000445756
76,658.511,0.57204,0.72087,0.92314,0.9365,0.99038,0.98964,0.86329,0.59109,0.83463,0.87784,0.000429253,0.000429253,0.000429253
77,665.263,0.53071,0.70719,0.92977,0.9365,0.99038,0.98964,0.86329,0.59109,0.83463,0.87784,0.000412749,0.000412749,0.000412749
78,672.393,0.57185,0.72515,0.95315,0.95022,1,0.995,0.87845,0.58578,0.8096,0.87203,0.000396246,0.000396246,0.000396246
79,679.466,0.57696,0.78843,0.99331,0.95022,1,0.995,0.87845,0.58578,0.8096,0.87203,0.000379743,0.000379743,0.000379743
80,686.085,0.56176,0.71037,1.01226,0.98182,1,0.995,0.88754,0.5596,0.75374,0.85747,0.000363239,0.000363239,0.000363239
81,692.718,0.49111,0.64605,0.91415,0.98182,1,0.995,0.88754,0.5596,0.75374,0.85747,0.000346736,0.000346736,0.000346736
82,699.432,0.53181,0.70299,0.94915,0.98384,1,0.995,0.89922,0.54259,0.7254,0.84622,0.000330233,0.000330233,0.000330233
83,706.179,0.55564,0.78062,1.00851,0.98384,1,0.995,0.89922,0.54259,0.7254,0.84622,0.000313729,0.000313729,0.000313729
84,712.837,0.49606,0.67024,0.89929,0.98355,1,0.995,0.90763,0.53867,0.71528,0.84081,0.000297226,0.000297226,0.000297226
85,719.517,0.50397,0.66134,0.97788,0.98355,1,0.995,0.90763,0.53867,0.71528,0.84081,0.000280723,0.000280723,0.000280723
86,726.428,0.52136,0.78264,0.94637,0.98378,1,0.995,0.89581,0.53671,0.7024,0.84022,0.00026422,0.00026422,0.00026422
87,733.126,0.59849,0.70344,0.99291,0.98378,1,0.995,0.89581,0.53671,0.7024,0.84022,0.000247716,0.000247716,0.000247716
88,739.793,0.63096,0.69953,0.98107,0.98508,1,0.995,0.89611,0.53057,0.69141,0.84424,0.000231213,0.000231213,0.000231213
89,746.439,0.54533,0.64893,0.94255,0.98508,1,0.995,0.89611,0.53057,0.69141,0.84424,0.00021471,0.00021471,0.00021471
90,753.129,0.56167,0.71267,0.96412,0.98381,1,0.995,0.90185,0.53852,0.69872,0.85167,0.000198206,0.000198206,0.000198206
91,759.74,0.34346,0.63104,0.81836,0.98381,1,0.995,0.90185,0.53852,0.69872,0.85167,0.000181703,0.000181703,0.000181703
92,766.332,0.36793,0.64337,0.81555,0.9813,1,0.995,0.88801,0.54745,0.69826,0.85501,0.0001652,0.0001652,0.0001652
93,773.116,0.37055,0.64322,0.82338,0.9813,1,0.995,0.88801,0.54745,0.69826,0.85501,0.000148696,0.000148696,0.000148696
94,779.89,0.38494,0.62303,0.85346,0.97941,1,0.995,0.89574,0.5431,0.69149,0.85028,0.000132193,0.000132193,0.000132193
95,786.436,0.35734,0.64787,0.81625,0.97941,1,0.995,0.89574,0.5431,0.69149,0.85028,0.00011569,0.00011569,0.00011569
96,793.002,0.36564,0.63489,0.7887,0.98378,1,0.995,0.88837,0.53738,0.68459,0.84467,9.91865e-05,9.91865e-05,9.91865e-05
97,799.581,0.35642,0.59761,0.82235,0.98378,1,0.995,0.88837,0.53738,0.68459,0.84467,8.26832e-05,8.26832e-05,8.26832e-05
98,806.186,0.35691,0.6366,0.83554,0.98599,1,0.995,0.90163,0.5352,0.68092,0.84164,6.61799e-05,6.61799e-05,6.61799e-05
99,812.732,0.32952,0.60018,0.81337,0.98599,1,0.995,0.90163,0.5352,0.68092,0.84164,4.96766e-05,4.96766e-05,4.96766e-05
100,819.35,0.34289,0.62205,0.82519,0.98583,1,0.995,0.8975,0.53222,0.67173,0.83956,3.31733e-05,3.31733e-05,3.31733e-05
