epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,57.8096,1.15671,1.55193,1.36044,0.62052,0.7,0.87291,0.62795,1.66147,1.13325,1.36991,1.68253e-05,1.68253e-05,1.68253e-05
19,60.1833,0.97843,1.90563,1.13551,0.77483,0.65,0.86188,0.61114,1.66857,1.17684,1.37892,1.7603e-05,1.7603e-05,1.7603e-05
20,62.3915,0.89711,1.53574,1.21097,0.77483,0.65,0.86188,0.61114,1.66857,1.17684,1.37892,1.83571e-05,1.83571e-05,1.83571e-05
21,64.6347,1.29222,2.49849,1.71342,0.77119,0.65,0.85531,0.6099,1.68123,1.21212,1.38578,1.90876e-05,1.90876e-05,1.90876e-05
22,67.3914,1.08325,2.33906,1.51913,0.77119,0.65,0.85531,0.6099,1.68123,1.21212,1.38578,1.97946e-05,1.97946e-05,1.97946e-05
23,70.1611,1.05867,1.82062,1.47225,0.74589,0.65,0.85514,0.6192,1.68027,1.23184,1.3835,2.0478e-05,2.0478e-05,2.0478e-05
24,72.4393,1.12423,2.21393,1.54036,0.74589,0.65,0.85514,0.6192,1.68027,1.23184,1.3835,2.11379e-05,2.11379e-05,2.11379e-05
25,74.6496,0.83464,1.46993,1.21034,0.71049,0.65471,0.85534,0.61104,1.6807,1.27382,1.38325,2.17741e-05,2.17741e-05,2.17741e-05
26,76.8189,1.15283,1.85948,1.45066,0.71049,0.65471,0.85534,0.61104,1.6807,1.27382,1.38325,2.23869e-05,2.23869e-05,2.23869e-05
27,79.0967,0.91842,1.67097,1.39783,0.70525,0.6685,0.85545,0.61336,1.70161,1.30247,1.39812,2.2976e-05,2.2976e-05,2.2976e-05
28,81.2874,0.80106,1.24171,1.14049,0.70525,0.6685,0.85545,0.61336,1.70161,1.30247,1.39812,2.35417e-05,2.35417e-05,2.35417e-05
29,83.5339,0.99736,1.52715,1.27176,0.70068,0.67248,0.85551,0.61082,1.67039,1.30968,1.37779,2.40837e-05,2.40837e-05,2.40837e-05
30,85.7859,1.26559,2.34972,1.59809,0.70068,0.67248,0.85551,0.61082,1.67039,1.30968,1.37779,2.46022e-05,2.46022e-05,2.46022e-05
31,88.0882,0.9796,1.43341,1.29407,0.6919,0.66667,0.85204,0.60885,1.68076,1.34643,1.38374,2.50971e-05,2.50971e-05,2.50971e-05
32,90.2486,0.81022,1.26018,1.21401,0.6919,0.66667,0.85204,0.60885,1.68076,1.34643,1.38374,2.55685e-05,2.55685e-05,2.55685e-05
33,92.621,0.78156,1.31859,1.3426,0.67241,0.68915,0.85241,0.60751,1.66624,1.3778,1.37984,2.60163e-05,2.60163e-05,2.60163e-05
34,94.7747,1.05737,1.2516,1.31047,0.67241,0.68915,0.85241,0.60751,1.66624,1.3778,1.37984,2.64405e-05,2.64405e-05,2.64405e-05
35,97.0214,0.88718,2.16515,1.30329,0.66428,0.7,0.85262,0.59109,1.68121,1.4122,1.38798,2.68412e-05,2.68412e-05,2.68412e-05
36,99.1246,0.96211,1.47731,1.2011,0.66428,0.7,0.85262,0.59109,1.68121,1.4122,1.38798,2.72183e-05,2.72183e-05,2.72183e-05
37,101.52,0.7839,1.11457,1.17302,0.647,0.7,0.8524,0.5836,1.64939,1.44744,1.37014,2.75718e-05,2.75718e-05,2.75718e-05
38,103.728,0.45786,0.70338,0.96922,0.647,0.7,0.8524,0.5836,1.64939,1.44744,1.37014,2.79018e-05,2.79018e-05,2.79018e-05
39,105.967,0.64697,0.93536,1.02056,0.67393,0.69074,0.85257,0.56179,1.62477,1.47884,1.3647,2.82082e-05,2.82082e-05,2.82082e-05
40,108.136,0.8019,0.83737,1.16665,0.67393,0.69074,0.85257,0.56179,1.62477,1.47884,1.3647,2.84911e-05,2.84911e-05,2.84911e-05
41,110.5,0.75766,0.92581,1.06113,0.68205,0.66551,0.76929,0.48791,1.59485,1.48927,1.35654,2.87504e-05,2.87504e-05,2.87504e-05
42,112.798,0.87995,1.88262,1.27724,0.68205,0.66551,0.76929,0.48791,1.59485,1.48927,1.35654,2.89861e-05,2.89861e-05,2.89861e-05
43,115.203,0.84634,1.22121,1.22832,0.67821,0.65,0.76238,0.47306,1.62136,1.52865,1.38428,2.91983e-05,2.91983e-05,2.91983e-05
44,117.401,1.07475,0.98551,1.45156,0.67821,0.65,0.76238,0.47306,1.62136,1.52865,1.38428,2.93869e-05,2.93869e-05,2.93869e-05
45,119.947,0.61312,0.92507,0.99474,0.69168,0.65,0.76251,0.47229,1.6097,1.54533,1.38072,2.9552e-05,2.9552e-05,2.9552e-05
